2023-06-28 03:00:00 | AUTH_SUCCESS | ip= 10.0.0.5 | user=mariam
2023-06-28 03:07:00 | AUTH_SUCCESS | ip= 10.0.0.8 | user=thabo
2023-06-28 03:14:00 | AUTH_SUCCESS | ip= 10.0.0.12 | user=Adam
2023-06-28 03:21:00 | AUTH_FAILED | ip= 10.0.0.8 | user=thabo
2023-06-28 03:21:20 | AUTH_SUCCESS | ip= 10.0.0.8 | user=thabo
2023-06-28 03:31:20 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:31:35 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:31:50 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:32:05 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:32:20 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:32:35 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:32:50 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:33:05 | AUTH_FAILED | ip= 198.51.100.23 | user=admin
2023-06-28 03:48:20 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=21
2023-06-28 03:48:22 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=22
2023-06-28 03:48:24 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=23
2023-06-28 03:48:26 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=25
2023-06-28 03:48:28 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=53
2023-06-28 03:48:30 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=80
2023-06-28 03:48:32 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=110
2023-06-28 03:48:34 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=139
2023-06-28 03:48:36 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=143
2023-06-28 03:48:38 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=443
2023-06-28 03:48:40 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=445
2023-06-28 03:48:42 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=993
2023-06-28 03:48:44 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=995
2023-06-28 03:48:46 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=3306
2023-06-28 03:48:48 | PORT_SCAN_PROBE | ip= 203.0.113.45 | port=3389
